Organism (genomeID),Organism,TaxID,SEED_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,
Campylobacter coli JV20 (864566.3),Campylobacter coli JV20 ,864566,864566.3,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter coli, Campylobacter coli JV20,
Campylobacter coli RM2228 (306254.7),Campylobacter coli RM2228 ,306254,306254.7,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter coli, Campylobacter coli RM2228,
Campylobacter coli strain BFR-CA-9557 (195.363),Campylobacter coli strain BFR-CA-9557 ,195,195.363,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter coli,,
Campylobacter coli strain n/a (195.462),Campylobacter coli strain n/a ,195,195.462,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter coli,,
Campylobacter coli strain n/a (195.899),Campylobacter coli strain n/a ,195,195.899,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter coli,,
Campylobacter coli strain YH501 (195.1023),Campylobacter coli strain YH501 ,195,195.1023,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter coli,,
Campylobacter concisus 13826 (360104.9),Campylobacter concisus 13826 ,360104,360104.9,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter concisus, Campylobacter concisus 13826,
Campylobacter concisus BEED07 (199.994),Campylobacter concisus BEED07 ,199,199.994,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter concisus, Campylobacter concisus BEED07,
Campylobacter concisus strain AAUH-12CDti2-a (199.830),Campylobacter concisus strain AAUH-12CDti2-a ,199,199.830,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter concisus,,
Campylobacter concisus strain ATCC 33237 (199.248),Campylobacter concisus strain ATCC 33237 ,199,199.248,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter concisus,,
Campylobacter concisus strain P2CDO4 (199.901),Campylobacter concisus strain P2CDO4 ,199,199.901,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter concisus,,
Campylobacter concisus UNSWCD (929793.3),Campylobacter concisus UNSWCD ,929793,929793.3,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter concisus, Campylobacter concisus UNSWCD,
Campylobacter curvus 525.92 (360105.8),Campylobacter curvus 525.92 ,360105,360105.8,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter curvus, Campylobacter curvus 525.92,
Campylobacter curvus DSM 6644 (1121268.3),Campylobacter curvus DSM 6644 ,1121268,1121268.3,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter curvus, Campylobacter curvus DSM 6644,
Campylobacter fetus subsp. fetus (32019.15),Campylobacter fetus subsp. fetus ,32019,32019.15,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter fetus, Campylobacter fetus subsp. fetus,
Campylobacter fetus subsp. fetus 82-40 (360106.6),Campylobacter fetus subsp. fetus 82-40 ,360106,360106.6,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter fetus, Campylobacter fetus subsp. fetus 82-40,
Campylobacter fetus subsp. venerealis NCTC 10354 (983328.4),Campylobacter fetus subsp. venerealis NCTC 10354 ,983328,983328.4,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter fetus, Campylobacter fetus subsp. venerealis NCTC 10354,
Campylobacter gracilis RM3268 (553220.3),Campylobacter gracilis RM3268 ,553220,553220.3,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter gracilis, Campylobacter gracilis RM3268,
Campylobacter hominis ATCC BAA-381 (360107.7),Campylobacter hominis ATCC BAA-381 ,360107,360107.7,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter hominis, Campylobacter hominis ATCC BAA-381,
Campylobacter jejuni BEED08 (197.15238),Campylobacter jejuni BEED08 ,197,197.15238,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter jejuni, Campylobacter jejuni BEED08,
Campylobacter jejuni RM1221 (195099.5),Campylobacter jejuni RM1221 ,195099,195099.5,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter jejuni, Campylobacter jejuni RM1221,
Campylobacter jejuni strain CJM1cam (197.5229),Campylobacter jejuni strain CJM1cam ,197,197.5229,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter jejuni,,
Campylobacter jejuni strain NCTC11351 (197.5249),Campylobacter jejuni strain NCTC11351 ,197,197.5249,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter jejuni,,
Campylobacter jejuni subsp. doylei 269.97 (360109.7),Campylobacter jejuni subsp. doylei 269.97 ,360109,360109.7,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter jejuni, Campylobacter jejuni subsp. doylei 269.97,
Campylobacter jejuni subsp. jejuni 1336 (683082.3),Campylobacter jejuni subsp. jejuni 1336 ,683082,683082.3,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter jejuni, Campylobacter jejuni subsp. jejuni 1336,
Campylobacter jejuni subsp. jejuni 414 (683083.3),Campylobacter jejuni subsp. jejuni 414 ,683083,683083.3,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter jejuni, Campylobacter jejuni subsp. jejuni 414,
Campylobacter jejuni subsp. jejuni 81116 (407148.6),Campylobacter jejuni subsp. jejuni 81116 ,407148,407148.6,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter jejuni, Campylobacter jejuni subsp. jejuni 81116,
Campylobacter jejuni subsp. jejuni 81-176 [WGS] (354242.17),Campylobacter jejuni subsp. jejuni 81-176 [WGS] ,354242,354242.17,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter jejuni, Campylobacter jejuni subsp. jejuni 81-176,
Campylobacter jejuni subsp. jejuni M1 (645464.3),Campylobacter jejuni subsp. jejuni M1 ,645464,645464.3,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter jejuni, Campylobacter jejuni subsp. jejuni M1,
Campylobacter jejuni subsp. jejuni NCTC 11168 (192222.6),Campylobacter jejuni subsp. jejuni NCTC 11168 ,192222,192222.6,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter jejuni, Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,
Campylobacter jejuni subsp. jejuni NCTC 11168-BN148 (1211776.3),Campylobacter jejuni subsp. jejuni NCTC 11168-BN148 ,1211776,1211776.3,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter jejuni, Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,
Campylobacter lari RM2100 (306263.5),Campylobacter lari RM2100 ,306263,306263.5,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter lari, Campylobacter lari RM2100,
Campylobacter rectus RM3267 (553218.4),Campylobacter rectus RM3267 ,553218,553218.4,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter rectus, Campylobacter rectus RM3267,
Campylobacter showae CSUNSWCD (1244083.3),Campylobacter showae CSUNSWCD ,1244083,1244083.3,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter showae, Campylobacter showae CSUNSWCD,
Campylobacter showae RM3277 (553219.3),Campylobacter showae RM3277 ,553219,553219.3,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter showae, Campylobacter showae RM3277,
Campylobacter sp. 10_1_50 (665939.3),Campylobacter sp. 10_1_50 ,665939,665939.3,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,-, Campylobacter sp. 10_1_50,
Campylobacter upsaliensis JV21 (888826.3),Campylobacter upsaliensis JV21 ,888826,888826.3,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter upsaliensis, Campylobacter upsaliensis JV21,
Campylobacter upsaliensis RM3195 (306264.5),Campylobacter upsaliensis RM3195 ,306264,306264.5,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter upsaliensis, Campylobacter upsaliensis RM3195,
Campylobacter ureolyticus ACS-301-V-Sch3b (883165.3),Campylobacter ureolyticus ACS-301-V-Sch3b ,883165,883165.3,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter ureolyticus, Campylobacter ureolyticus ACS-301-V-Sch3b,
Campylobacter ureolyticus LFYP111 (6666666.205274),Campylobacter ureolyticus LFYP111 ,827,6666666.205274,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter ureolyticus, Campylobacter ureolyticus LFYP111,
Campylobacter ureolyticus RIGS 9880 (1032069.3),Campylobacter ureolyticus RIGS 9880 ,1032069,1032069.3,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter ureolyticus, Campylobacter ureolyticus RIGS 9880,
Campylobacter ureolyticus strain CIT007 (827.3),Campylobacter ureolyticus strain CIT007 ,827,827.3,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter, Campylobacter ureolyticus,,
Capnocytophaga granulosa ATCC 51502 (641143.3),Capnocytophaga granulosa ATCC 51502 ,641143,641143.3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga, Capnocytophaga granulosa, Capnocytophaga granulosa ATCC 51502,
Capnocytophaga ochracea DSM 7271 (521097.5),Capnocytophaga ochracea DSM 7271 ,521097,521097.5,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga, Capnocytophaga ochracea, Capnocytophaga ochracea DSM 7271,
Capnocytophaga ochracea F0287 (873517.3),Capnocytophaga ochracea F0287 ,873517,873517.3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga, Capnocytophaga ochracea, Capnocytophaga ochracea F0287,
Capnocytophaga ochracea str. Holt 25 (1125719.3),Capnocytophaga ochracea str. Holt 25 ,1125719,1125719.3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga, Capnocytophaga ochracea, Capnocytophaga ochracea str. Holt 25,
Capnocytophaga sp. CM59 (936370.3),Capnocytophaga sp. CM59 ,936370,936370.3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,-, Capnocytophaga sp. CM59,
Capnocytophaga sp. oral taxon 326 str. F0382 (1035193.3),Capnocytophaga sp. oral taxon 326 str. F0382 ,1035193,1035193.3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,-, Capnocytophaga sp. oral taxon 326 str. F0382,
Capnocytophaga sp. oral taxon 329 str. F0087 (706436.3),Capnocytophaga sp. oral taxon 329 str. F0087 ,706436,706436.3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,-, Capnocytophaga sp. oral taxon 329 str. F0087,
Capnocytophaga sp. oral taxon 332 str. F0381 (1127692.3),Capnocytophaga sp. oral taxon 332 str. F0381 ,1127692,1127692.3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,-, Capnocytophaga sp. oral taxon 332 str. F0381,
Capnocytophaga sp. oral taxon 335 str. F0486 (1125720.3),Capnocytophaga sp. oral taxon 335 str. F0486 ,1125720,1125720.3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,-, Capnocytophaga sp. oral taxon 335 str. F0486,
Capnocytophaga sp. oral taxon 336 str. F0502 (1203603.3),Capnocytophaga sp. oral taxon 336 str. F0502 ,1203603,1203603.3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,-, Capnocytophaga sp. oral taxon 336 str. F0502,
Capnocytophaga sp. oral taxon 338 str. F0234 (888059.3),Capnocytophaga sp. oral taxon 338 str. F0234 ,888059,888059.3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,-, Capnocytophaga sp. oral taxon 338 str. F0234,
Capnocytophaga sp. oral taxon 412 str. F0487 (1125721.3),Capnocytophaga sp. oral taxon 412 str. F0487 ,1125721,1125721.3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,-, Capnocytophaga sp. oral taxon 412 str. F0487,
Capnocytophaga sputigena ATCC 33612 (553177.6),Capnocytophaga sputigena ATCC 33612 ,553177,553177.6,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga, Capnocytophaga sputigena, Capnocytophaga sputigena ATCC 33612,
Caproiciproducens galactitolivorans strain BS-1 (642589.3),Caproiciproducens galactitolivorans strain BS-1,642589,642589.3,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Caproiciproducens,Caproiciproducens galactitolivorans,,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Caproiciproducens; Caproiciproducens galactitolivorans
Catenibacterium mitsuokai DSM 15897 (451640.5),Catenibacterium mitsuokai DSM 15897 ,451640,451640.5,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium, Catenibacterium mitsuokai, Catenibacterium mitsuokai DSM 15897,
Catenibacterium sp. AM22-15 (2292991.3),Catenibacterium sp. AM22-15,2292991,2292991.3,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,-,Catenibacterium sp. AM22-15,Bacteria; Terrabacteria group; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Catenibacterium; unclassified Catenibacterium; Catenibacterium sp. AM22-15
Catenibacterium sp. AM22-6LB (2292992.3),Catenibacterium sp. AM22-6LB,2292992,2292992.3,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,-,Catenibacterium sp. AM22-6LB,Bacteria; Terrabacteria group; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Catenibacterium; unclassified Catenibacterium; Catenibacterium sp. AM22-6LB
Catenibacterium sp. strain UBA9492 (2049022.3),Catenibacterium sp. strain UBA9492,2049022,2049022.3,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,-,Catenibacterium sp.,Bacteria; Terrabacteria group; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Catenibacterium; unclassified Catenibacterium; Catenibacterium sp.
Cedecea davisae DSM 4568 (566551.4),Cedecea davisae DSM 4568 ,566551,566551.4,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea, Cedecea davisae, Cedecea davisae DSM 4568,
Cellulomonas sp. JC225 (1095767.3),Cellulomonas sp. JC225 ,1095767,1095767.3,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas, Cellulomonas massiliensis, Cellulomonas massiliensis JC225,
Cellulosimicrobium cellulans J36 (935839.3),Cellulosimicrobium cellulans J36 ,935839,935839.3,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium, Cellulosimicrobium cellulans, Cellulosimicrobium cellulans J36,
Cellulosimicrobium cellulans strain DSM 43879 (1710.9),Cellulosimicrobium cellulans strain DSM 43879 ,1710,1710.9,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium, Cellulosimicrobium cellulans,,
Cetobacterium somerae ATCC BAA-474 (1319815.3),Cetobacterium somerae ATCC BAA-474 ,1319815,1319815.3,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium, Cetobacterium somerae, Cetobacterium somerae ATCC BAA-474,
Christensenella massiliensis strain Marseille-P2438 (1805714.3),Christensenella massiliensis strain Marseille-P2438 ,1805714,1805714.3,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella, Christensenella massiliensis,,
Christensenella minuta strain DSM 22607 (626937.8),Christensenella minuta strain DSM 22607 ,626937,626937.8,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella, Christensenella minuta,,
Christensenella sp. Marseille-P2437 (1816678.3),Christensenella sp. Marseille-P2437 ,1816678,1816678.3,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella, Christensenella timonensis,,
Christensenella sp. Marseille-P3954 (2086585.3),Christensenella sp. Marseille-P3954,2086585,2086585.3,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella,-,,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella; Christensenella sp. Marseille-P3954
Citrobacter amalonaticus LFYP1 (6666666.201630),Citrobacter amalonaticus LFYP1 ,35703,6666666.201630,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter, Citrobacter amalonaticus, Citrobacter amalonaticus LFYP1,
Citrobacter amalonaticus strain FDAARGOS_122 (35703.30),Citrobacter amalonaticus strain FDAARGOS_122 ,35703,35703.30,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter, Citrobacter amalonaticus,,
Citrobacter amalonaticus strain FDAARGOS_166 (35703.24),Citrobacter amalonaticus strain FDAARGOS_166 ,35703,35703.24,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter, Citrobacter amalonaticus,,
Citrobacter amalonaticus strain YG6 (35703.16),Citrobacter amalonaticus strain YG6 ,35703,35703.16,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter, Citrobacter amalonaticus,,
Citrobacter amalonaticus strain YG8 (35703.17),Citrobacter amalonaticus strain YG8 ,35703,35703.17,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter, Citrobacter amalonaticus,,
Citrobacter braakii strain FDAARGOS_290 (57706.21),Citrobacter braakii strain FDAARGOS_290,57706,57706.21,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter braakii,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex; Citrobacter braakii
Citrobacter freundii 4_7_47CFAA (742730.3),Citrobacter freundii 4_7_47CFAA ,742730,742730.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter, Citrobacter freundii, Citrobacter freundii 4_7_47CFAA,
Citrobacter freundii ATCC 8090 = MTCC 1658 (1006003.3),Citrobacter freundii ATCC 8090 = MTCC 1658 ,1006003,1006003.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter, Citrobacter freundii, Citrobacter freundii ATCC 8090 = MTCC 1658,
Citrobacter freundii GTC 09479 (1288347.3),Citrobacter freundii GTC 09479 ,1288347,1288347.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter, Citrobacter freundii, Citrobacter freundii GTC 09479,
Citrobacter freundii GTC 09629 (1297584.3),Citrobacter freundii GTC 09629 ,1297584,1297584.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter, Citrobacter freundii, Citrobacter freundii GTC 09629,
Citrobacter freundii strain FDAARGOS_61 (546.84),Citrobacter freundii strain FDAARGOS_61 ,546,546.84,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter, Citrobacter freundii,,
Citrobacter freundii strain FDAARGOS_73 (546.83),Citrobacter freundii strain FDAARGOS_73 ,546,546.83,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter, Citrobacter freundii,,
Citrobacter freundii strain P10159 (546.94),Citrobacter freundii strain P10159 ,546,546.94,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter, Citrobacter freundii,,
Citrobacter koseri ATCC BAA-895 (290338.8),Citrobacter koseri ATCC BAA-895 ,290338,290338.8,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter, Citrobacter koseri, Citrobacter koseri ATCC BAA-895,
Citrobacter koseri strain FDAARGOS_164 (545.23),Citrobacter koseri strain FDAARGOS_164 ,545,545.23,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter, Citrobacter koseri,,
Citrobacter koseri strain URMITE (545.12),Citrobacter koseri strain URMITE ,545,545.12,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter, Citrobacter koseri,,
Citrobacter murliniae strain P080C CL (67829.4),Citrobacter murliniae strain P080C CL,67829,67829.4,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter murliniae,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex; Citrobacter murliniae
Citrobacter rodentium ICC168 (637910.3),Citrobacter rodentium ICC168 ,637910,637910.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter, Citrobacter rodentium, Citrobacter rodentium ICC168,
Citrobacter sp. 30_2 (469595.3),Citrobacter sp. 30_2 ,469595,469595.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,-, Citrobacter sp. 30_2,
Citrobacter sp. A1 (1173691.3),Citrobacter sp. A1 ,1173691,1173691.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,-, Citrobacter sp. A1,
Citrobacter sp. KTE151 (1169322.3),Citrobacter sp. KTE151 ,1169322,1169322.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,-, Citrobacter sp. KTE151,
Citrobacter sp. KTE30 (1169319.3),Citrobacter sp. KTE30 ,1169319,1169319.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,-, Citrobacter sp. KTE30,
Citrobacter sp. KTE32 (1169350.3),Citrobacter sp. KTE32 ,1169350,1169350.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,-, Citrobacter sp. KTE32,
Citrobacter sp. L17 (1212820.3),Citrobacter sp. L17 ,1212820,1212820.3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,-, Citrobacter sp. L17,
Citrobacter youngae ATCC 29220 (500640.5),Citrobacter youngae ATCC 29220 ,500640,500640.5,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter, Citrobacter youngae, Citrobacter youngae ATCC 29220,
Clostridiaceae bacterium JC118 (1034346.3),Clostridiaceae bacterium JC118 ,1034346,1034346.3,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Dielma, Dielma fastidiosa,,
Clostridiales bacterium 1_7_47FAA (457421.5),Clostridiales bacterium 1_7_47FAA ,457421,457421.5,Bacteria,Firmicutes,Clostridia,Clostridiales,-,-,-, Clostridiales bacterium 1_7_47FAA,
Clostridiales bacterium Marseille-P5551 (2219695.3),Clostridiales bacterium Marseille-P5551,2219695,2219695.3,Bacteria,Firmicutes,Clostridia,Clostridiales,-,-,-,,Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; unclassified Clostridiales; unclassified Clostridiales (miscellaneous); Clostridiales bacterium Marseille-P5551
Clostridiales bacterium ph2 (1118059.3),Clostridiales bacterium ph2 ,1118059,1118059.3,Bacteria,Firmicutes,Tissierellia,-,-,Kallipyga, Kallipyga massiliensis, Kallipyga massiliensis ph2,
Clostridiales sp. LFYP113 (186802.31),Clostridiales sp. LFYP113 ,2293011,186802.31,Bacteria,Firmicutes,Clostridia,Clostridiales,-,-,-, Clostridiales sp. LFYP113,
Clostridiales sp. LFYP120 (6666666.205278),Clostridiales sp. LFYP120 ,186802,6666666.205278,Bacteria,Firmicutes,Clostridia,Clostridiales,-,-,-, Clostridiales sp. LFYP120,
Clostridium acetobutylicum ATCC 824 (272562.8),Clostridium acetobutylicum ATCC 824 ,272562,272562.8,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium, Clostridium acetobutylicum, Clostridium acetobutylicum ATCC 824,
Clostridium acetobutylicum EA 2018 (863638.3),Clostridium acetobutylicum EA 2018 ,863638,863638.3,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium, Clostridium acetobutylicum, Clostridium acetobutylicum EA 2018,
Clostridium acidurici 9a (1128398.3),Clostridium acidurici 9a ,1128398,1128398.3,Bacteria,Firmicutes,Tissierellia,Tissierellales,Gottschalkiaceae,Gottschalkia, Gottschalkia acidurici, [Clostridium] acidurici 9a,
Clostridium asparagiforme DSM 15981 (518636.5),Clostridium asparagiforme DSM 15981 ,518636,518636.5,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium, [Clostridium] asparagiforme, [Clostridium asparagiforme] DSM 15981,
Clostridium bartlettii DSM 16795 (445973.7),Clostridium bartlettii DSM 16795 ,445973,445973.7,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Intestinibacter, Intestinibacter bartlettii, Intestinibacter bartlettii DSM 16795,
